carpet-cheap.webp	Cheap worn synthetic carpet in a low-rent apartment. Flat mid-grey-brown with a faint short pile texture, traffic-worn patches, a few old stains ground in. Utterly unglamorous.
tile-bath.webp	Small square ceramic bathroom tiles, roughly 15cm each so many per tile, off-white going grey, grout lines darkened with age and mildew, a couple of chipped tiles.
concrete-corridor.webp	Poured concrete corridor floor, sealed and scuffed, visible aggregate, faint control joints, scattered scratches and dark scuff marks from decades of foot traffic.
lino-kitchen.webp	Cheap vinyl sheet flooring in a fake pale-grey stone pattern, curling and lifted in places, cigarette burns and dark grease marks near where a cooker would be.
marble-lobby.webp	Polished dark grey-green marble floor in an expensive corporate tower lobby, large format slabs roughly 1m square with fine pale veining and tight joints, buffed to a soft sheen. Immaculately maintained — this is a rich building, NOT grimy. Keep it dark enough that light tokens read on top.
carpet-lux.webp	Dense low-pile commercial carpet in a corporate meeting room, deep charcoal with a subtle darker geometric weave, clean and well kept, faint vacuum tracks. Expensive and understated, not patterned or loud.
tile-marble.webp	Small polished marble floor tiles in a luxury washroom, roughly 30cm each so many per tile, pale warm grey with darker veining, narrow clean grout lines, slight wet sheen. Spotless — an expensive building, no mildew or damage.
wood-bar.webp	Dark stained hardwood strip flooring in an upmarket residents' bar, narrow boards running one direction, rich brown with visible grain and a satin lacquer, lightly worn along the traffic line.
garden-soil.webp	Top-down interior courtyard garden floor: dark planting soil and fine bark mulch with patches of low clipped ground cover and moss, threaded with pale flagstone paving. Lush and deliberately landscaped, softly lit.
pool-water.webp	Top-down surface of a lit indoor swimming pool, clear turquoise water over pale tiling, gentle surface ripples with soft caustic light patterns, slight depth gradient. No pool edge, no coping, no people — water surface only.
