craft-shop-store.webp	Interior of a small abandoned magic shop in 2050s Seattle, seen from a standing person's eye level. Shelves of dusty fetish materials — carved bone, herb jars, feathers, chalk, candles — a glass counter, a dead till. Clearly unused for months: dust sheets, a drift of junk mail inside the door. Cluttered, occult, shabby, not a boutique.
craft-shop-backroom.webp	Back room of an abandoned magic shop: a workbench, crates of unsorted stock, a battered desk, a trapdoor or stair head leading down, one grimy window. Storage and workspace, not for customers.
craft-living-area.webp	A cramped underground living space beneath a shop — a hermetic mage's bolt-hole. Trideo set, LiveSound audio deck, worn couch, a cluttered table, bookshelves of magical theory, no windows. Lived in within the last week: a mug, an open book. Cosy in a sealed, slightly paranoid way.
craft-bedroom.webp	Small windowless bedroom in an underground flat: a single bed, a wardrobe, a cheap lamp, personal clutter. Low ceiling, concrete walls painted over, close and quiet.
hive-main-floor.webp	Interior of a disused industrial food-processing plant at night — the Amber Gel facility. Stainless mixing tanks, overhead pipework and conveyors, drums stacked on pallets, a concrete floor stained with old spills. Green-tinted high windows letting in weak light, fluorescent fittings off. Dusty and poorly maintained, but not ruined.
hive-loading-dock.webp	Loading dock of a disused food plant: roller shutter doors, a dock leveller, drums of amber gel on pallets waiting for a morning truck, a pallet jack, scuffed concrete, weak light from outside.
hive-offices.webp	A small group of abandoned industrial offices beside a stairwell: empty desks, a dead terminal, an overturned chair, filing cabinets with drawers hanging open, a calendar years out of date. Dusty, stripped, nothing of value left.
hive-lower-room.webp	A pitch-dark basement room in an insect hive: thin partition walls, debris and broken crates, spilled soy food paste, chitinous residue smeared up the walls, papery organic growth in the corners. Lit only by a single hand torch beam. Stale, sweet, wrong. Horror, not a laboratory.
hive-queen-room.webp	The heart of an insect hive in a disused factory basement: the walls and ceiling thick with layered chitin and papery comb, fibrous organic growth swallowing the concrete structure, egg masses in the recesses, a low dais of hardened resin at the centre. Absolute darkness beyond one torch beam. Vast, organic, deeply hostile.
megamedia-reception.webp	Reception area of a mid-tier media corporation in 2050s Seattle: a curved desk with a receptionist's terminal, the company logo behind it, a few chairs, a wall of muted trideo screens playing adverts. Corporate, clean, a little cheap — not a megacorp lobby.
megamedia-office.webp	A media executive's private office: a large desk with a terminal, a wall of screens and framed simsense awards, a couch and low table for meetings, floor-to-ceiling window over a rainy city. Expensive and slightly try-hard.
megamedia-studio-floor.webp	A simsense recording floor: a raised performance area, sensor rigs and boom arms overhead, lighting trusses, cable runs taped to the floor, acoustic panelling on the walls. Dim, technical, everything pointed at the middle of the room.
megamedia-control-booth.webp	A simsense control booth seen through and beside its glass wall: mixing desk, banks of monitors showing waveform and sensory tracks, two operator chairs, dim blue instrument light, the recording floor visible beyond the glass.
megamedia-green-room.webp	A performer's green room at a media company: a couch, a lit mirror with a make-up counter, a rail of costume, a fridge, a trideo on the wall. Comfortable but institutional, a bit worn from use.
