bed.webp	A single bed seen from DIRECTLY ABOVE — mattress, cheap rumpled bedding, one pillow at the head. Low-rent apartment, worn and grubby.
dresser.webp	A low chest of drawers seen from DIRECTLY ABOVE — imitation wood top, drawer fronts visible as horizontal lines along the front edge. Cheap and scuffed.
rail.webp	A closet hanging rail seen from DIRECTLY ABOVE with a row of hanging clothes on it — you see the tops of shoulders and hangers packed along a bar.
toilet.webp	A toilet seen from DIRECTLY ABOVE — oval bowl with the lid down, cistern behind it. White porcelain gone dingy.
sink.webp	A small bathroom washbasin seen from DIRECTLY ABOVE — oval basin, tap and mirror edge behind. Stained porcelain.
shower.webp	A shower stall floor seen from DIRECTLY ABOVE — square tray with a drain, low tiled kerb, a shower head visible at one edge. Grimy.
counter.webp	A kitchenette counter run seen from DIRECTLY ABOVE — worktop with an inset sink at one end, a small hob with four rings at the other, cupboard fronts along the front edge.
couch.webp	A two-seat sofa seen from DIRECTLY ABOVE — you see the tops of the back, both arms and two seat cushions. Black plastic upholstery, cracked and worn.
table.webp	A small rectangular dining table seen from DIRECTLY ABOVE — imitation wood top with a couple of ring stains and clutter.
chair.webp	A single dining chair seen from DIRECTLY ABOVE — you see the seat and the top edge of the backrest. Cheap plastic.
